locus_tag	ftype	length_bp	gene	EC_number	COG	product
LEFGBFNB_00120	CDS	369	rplN		COG0093	50S ribosomal protein L14
LEFGBFNB_00121	CDS	342	rplX		COG0198	50S ribosomal protein L24
LEFGBFNB_00122	CDS	570	rplE		COG0094	50S ribosomal protein L5
LEFGBFNB_00123	CDS	186	rpsZ		COG0199	30S ribosomal protein S14 type Z
LEFGBFNB_00124	CDS	393	rpsH		COG0096	30S ribosomal protein S8
LEFGBFNB_00125	CDS	537	rplF		COG0097	50S ribosomal protein L6
LEFGBFNB_00126	CDS	372	rplR		COG0256	50S ribosomal protein L18
LEFGBFNB_00127	CDS	654				hypothetical protein
LEFGBFNB_00128	CDS	183	rpmD		COG1841	50S ribosomal protein L30
LEFGBFNB_00129	tRNA	73				tRNA-Gln(ctg)
LEFGBFNB_00130	tRNA	74				tRNA-Glu(ctc)
LEFGBFNB_00131	CDS	429	yfmP		COG0789	HTH-type transcriptional regulator YfmP
LEFGBFNB_00132	CDS	390				hypothetical protein
LEFGBFNB_00133	CDS	747				hypothetical protein
LEFGBFNB_00134	CDS	369				hypothetical protein
LEFGBFNB_00135	CDS	645	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
LEFGBFNB_00136	CDS	885			COG0391	Putative gluconeogenesis factor
LEFGBFNB_00137	CDS	549				hypothetical protein
LEFGBFNB_00138	CDS	570	yyaP_1		COG0262	putative protein YyaP
LEFGBFNB_00139	CDS	438				hypothetical protein
LEFGBFNB_00140	CDS	1065		1.-.-.-		Putative coenzyme F420-dependent oxidoreductase
LEFGBFNB_00141	CDS	1341	mdtL			Multidrug resistance protein MdtL
LEFGBFNB_00142	CDS	699	metZ	2.5.1.-	COG0626	O-succinylhomoserine sulfhydrylase
LEFGBFNB_00143	CDS	798				hypothetical protein
LEFGBFNB_00144	CDS	666	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
LEFGBFNB_00145	CDS	2097				hypothetical protein
LEFGBFNB_00146	CDS	1350	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
LEFGBFNB_00147	CDS	378				hypothetical protein
LEFGBFNB_00148	CDS	336				hypothetical protein
LEFGBFNB_00149	CDS	747	phnE_1		COG3639	Phosphate-import permease protein PhnE
LEFGBFNB_00150	CDS	540	rimM		COG0806	Ribosome maturation factor RimM
LEFGBFNB_00151	CDS	822	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
LEFGBFNB_00152	CDS	351	rplS		COG0335	50S ribosomal protein L19
LEFGBFNB_00153	CDS	201				hypothetical protein
LEFGBFNB_00154	CDS	522				hypothetical protein
LEFGBFNB_00155	CDS	558				hypothetical protein
LEFGBFNB_00156	CDS	207				hypothetical protein
LEFGBFNB_00157	CDS	813				hypothetical protein
LEFGBFNB_00158	CDS	114				hypothetical protein
LEFGBFNB_00159	CDS	1803				hypothetical protein
LEFGBFNB_00160	CDS	777	soj	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
LEFGBFNB_00161	CDS	603				hypothetical protein
LEFGBFNB_00162	CDS	435				hypothetical protein
LEFGBFNB_00163	CDS	2775	nasD	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
LEFGBFNB_00164	CDS	855				hypothetical protein
LEFGBFNB_00165	CDS	936				hypothetical protein
LEFGBFNB_00166	CDS	696	dinG_1	3.1.-.-		3'-5' exonuclease DinG
LEFGBFNB_00167	CDS	267				hypothetical protein
LEFGBFNB_00168	CDS	291				hypothetical protein
LEFGBFNB_00169	CDS	138				hypothetical protein
LEFGBFNB_00170	CDS	1203	fic	2.7.7.-	COG3177	Protein adenylyltransferase SoFic
LEFGBFNB_00171	CDS	123				hypothetical protein
LEFGBFNB_00172	CDS	2964				hypothetical protein
LEFGBFNB_00173	CDS	990				hypothetical protein
LEFGBFNB_00174	CDS	942	araQ_3		COG0395	L-arabinose transport system permease protein AraQ
LEFGBFNB_00175	CDS	873	rhtA		COG5006	Threonine/homoserine exporter RhtA
LEFGBFNB_00176	CDS	948	pstC2		COG0573	Phosphate transport system permease protein PstC 2
LEFGBFNB_00177	CDS	1065				hypothetical protein
LEFGBFNB_00178	CDS	780	pstB1	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 1
LEFGBFNB_00179	CDS	138				hypothetical protein
LEFGBFNB_00180	CDS	693				hypothetical protein
LEFGBFNB_00181	CDS	411				hypothetical protein
LEFGBFNB_00182	CDS	546				hypothetical protein
LEFGBFNB_00183	CDS	651	lhgD	1.1.5.-	COG0579	L-2-hydroxyglutarate dehydrogenase
LEFGBFNB_00184	CDS	981				hypothetical protein
LEFGBFNB_00185	CDS	483				hypothetical protein
LEFGBFNB_00186	CDS	651	nudK	3.6.1.-		GDP-mannose pyrophosphatase NudK
LEFGBFNB_00187	CDS	759	glcR		COG1349	HTH-type transcriptional repressor GlcR
LEFGBFNB_00188	CDS	618	ligB	6.5.1.1	COG1793	DNA ligase B
LEFGBFNB_00189	CDS	1647	mctC		COG4147	Monocarboxylic acid transporter
LEFGBFNB_00190	CDS	351				hypothetical protein
LEFGBFNB_00191	CDS	378	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
LEFGBFNB_00192	CDS	1911	yjcS_1	3.1.6.-	COG2015	Putative alkyl/aryl-sulfatase YjcS
LEFGBFNB_00193	CDS	2823	acnA	4.2.1.3	COG1048	Aconitate hydratase A
LEFGBFNB_00194	CDS	957	lacF_2			Lactose transport system permease protein LacF
LEFGBFNB_00195	CDS	933	araQ_4		COG0395	L-arabinose transport system permease protein AraQ
LEFGBFNB_00196	CDS	975				hypothetical protein
LEFGBFNB_00197	CDS	2637	quiP	3.5.1.97	COG2366	Acyl-homoserine lactone acylase QuiP
LEFGBFNB_00198	CDS	168				hypothetical protein
LEFGBFNB_00199	CDS	609	yycB		COG2807	putative transporter YycB
LEFGBFNB_00200	CDS	264				hypothetical protein
LEFGBFNB_00201	CDS	555				hypothetical protein
LEFGBFNB_00202	CDS	441				hypothetical protein
LEFGBFNB_00203	CDS	207				hypothetical protein
LEFGBFNB_00204	CDS	1014				hypothetical protein
LEFGBFNB_00205	CDS	921	swrC		COG0841	Swarming motility protein SwrC
LEFGBFNB_00206	CDS	201				hypothetical protein
LEFGBFNB_00207	CDS	603				hypothetical protein
LEFGBFNB_00208	CDS	711	ideR_1		COG1321	Iron-dependent repressor IdeR
LEFGBFNB_00209	CDS	804				hypothetical protein
LEFGBFNB_00210	CDS	441				hypothetical protein
LEFGBFNB_00211	CDS	249	whiB1			Transcriptional regulator WhiB1
LEFGBFNB_00212	CDS	1122				hypothetical protein
LEFGBFNB_00213	CDS	135				hypothetical protein
LEFGBFNB_00214	CDS	237				hypothetical protein
LEFGBFNB_00215	CDS	1998				hypothetical protein
LEFGBFNB_00216	CDS	975				hypothetical protein
LEFGBFNB_00217	CDS	2250				hypothetical protein
LEFGBFNB_00218	CDS	276				hypothetical protein
LEFGBFNB_00219	CDS	543				hypothetical protein
LEFGBFNB_00220	CDS	1062				hypothetical protein
LEFGBFNB_00221	CDS	1389				hypothetical protein
LEFGBFNB_00222	CDS	474				hypothetical protein
LEFGBFNB_00223	CDS	2739	cbhB	3.2.1.91		Exoglucanase B
LEFGBFNB_00224	CDS	291				hypothetical protein
LEFGBFNB_00225	CDS	1260	ackA	2.7.2.1	COG0282	Acetate kinase
LEFGBFNB_00226	CDS	132				hypothetical protein
LEFGBFNB_00227	CDS	645				hypothetical protein
LEFGBFNB_00228	CDS	2163	tkt	2.2.1.1	COG0021	Transketolase
LEFGBFNB_00229	CDS	729				hypothetical protein
LEFGBFNB_00230	CDS	300				hypothetical protein
LEFGBFNB_00231	CDS	1302				hypothetical protein
LEFGBFNB_00232	CDS	711	ideR_2		COG1321	Iron-dependent repressor IdeR
LEFGBFNB_00233	CDS	345				hypothetical protein
LEFGBFNB_00234	CDS	948				hypothetical protein
LEFGBFNB_00235	CDS	1695				hypothetical protein
LEFGBFNB_00236	CDS	2748	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
LEFGBFNB_00237	CDS	2973				hypothetical protein
LEFGBFNB_00238	CDS	171				hypothetical protein
LEFGBFNB_00239	CDS	225				hypothetical protein
LEFGBFNB_00240	CDS	2943	gcvP	1.4.4.2	COG0403	putative glycine dehydrogenase (decarboxylating)
LEFGBFNB_00241	CDS	1278				hypothetical protein
LEFGBFNB_00242	CDS	921	araQ_5		COG0395	L-arabinose transport system permease protein AraQ
LEFGBFNB_00243	CDS	1125				hypothetical protein
LEFGBFNB_00244	CDS	4722	hypBA2	3.2.1.187		Beta-L-arabinobiosidase
LEFGBFNB_00245	CDS	369				hypothetical protein
LEFGBFNB_00246	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
LEFGBFNB_00247	CDS	663	rplC		COG0087	50S ribosomal protein L3
LEFGBFNB_00248	CDS	714	rplD		COG0088	50S ribosomal protein L4
LEFGBFNB_00249	CDS	291	rplW		COG0089	50S ribosomal protein L23
LEFGBFNB_00250	CDS	837	rplB		COG0090	50S ribosomal protein L2
LEFGBFNB_00251	CDS	282	rpsS		COG0185	30S ribosomal protein S19
LEFGBFNB_00252	CDS	372	rplV		COG0091	50S ribosomal protein L22
LEFGBFNB_00253	CDS	855	rpsC		COG0092	30S ribosomal protein S3
LEFGBFNB_00254	CDS	420	rplP		COG0197	50S ribosomal protein L16
LEFGBFNB_00255	CDS	237	rpmC		COG0255	50S ribosomal protein L29
LEFGBFNB_00256	CDS	303	rpsQ		COG0186	30S ribosomal protein S17
LEFGBFNB_00257	CDS	564				hypothetical protein
LEFGBFNB_00258	CDS	3555				hypothetical protein
LEFGBFNB_00259	CDS	1041	ilvD_1	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
LEFGBFNB_00260	CDS	195				hypothetical protein
LEFGBFNB_00261	CDS	288				hypothetical protein
LEFGBFNB_00262	CDS	1179	recF		COG1195	DNA replication and repair protein RecF
LEFGBFNB_00263	CDS	192				hypothetical protein
LEFGBFNB_00264	CDS	255				hypothetical protein
LEFGBFNB_00265	CDS	369	hiuH	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
LEFGBFNB_00266	CDS	951	uox	1.7.3.3		Uricase
LEFGBFNB_00267	CDS	1068				hypothetical protein
LEFGBFNB_00268	CDS	234				hypothetical protein
LEFGBFNB_00269	CDS	1230	ydhP		COG2814	Inner membrane transport protein YdhP
LEFGBFNB_00270	CDS	333	trxA_1		COG0526	Thioredoxin 1
LEFGBFNB_00271	CDS	1041	trxB_1	1.8.1.9	COG0492	Thioredoxin reductase
LEFGBFNB_00272	CDS	621				hypothetical protein
LEFGBFNB_00273	CDS	354				hypothetical protein
LEFGBFNB_00274	CDS	381				hypothetical protein
LEFGBFNB_00275	CDS	204				hypothetical protein
LEFGBFNB_00276	tRNA	74				tRNA-Lys(ttt)
LEFGBFNB_00277	CDS	711	liaR_1		COG2197	Transcriptional regulatory protein LiaR
LEFGBFNB_00278	CDS	966		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
LEFGBFNB_00279	CDS	996	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
LEFGBFNB_00280	CDS	381				hypothetical protein
LEFGBFNB_00281	CDS	450				hypothetical protein
LEFGBFNB_00282	CDS	414				hypothetical protein
LEFGBFNB_00283	CDS	993				hypothetical protein
LEFGBFNB_00284	CDS	3141				hypothetical protein
LEFGBFNB_00285	CDS	1566				hypothetical protein
LEFGBFNB_00286	CDS	447				hypothetical protein
LEFGBFNB_00287	CDS	1758	petB			Cytochrome b6
LEFGBFNB_00288	CDS	1062	qcrA		COG0723	Cytochrome bc1 complex Rieske iron-sulfur subunit
LEFGBFNB_00289	CDS	780	qcrC	7.1.1.8	COG2010	Cytochrome bc1 complex cytochrome c subunit
LEFGBFNB_00290	CDS	603	ctaE	1.9.3.1	COG1845	putative cytochrome c oxidase subunit 3
LEFGBFNB_00291	CDS	1398	glyQS	6.1.1.14	COG0423	Glycine--tRNA ligase
LEFGBFNB_00292	CDS	549				hypothetical protein
LEFGBFNB_00293	CDS	1071				hypothetical protein
LEFGBFNB_00294	CDS	219				hypothetical protein
LEFGBFNB_00295	CDS	705				hypothetical protein
LEFGBFNB_00296	CDS	381				hypothetical protein
LEFGBFNB_00297	CDS	480				hypothetical protein
LEFGBFNB_00298	CDS	342	ricR_1		COG1937	Copper-sensing transcriptional repressor RicR
LEFGBFNB_00299	CDS	366				hypothetical protein
LEFGBFNB_00300	CDS	1515				hypothetical protein
LEFGBFNB_00301	CDS	747	btsS	2.7.13.3	COG3275	Sensor histidine kinase BtsS
LEFGBFNB_00302	CDS	1494	pbuG_1		COG2252	Guanine/hypoxanthine permease PbuG
LEFGBFNB_00303	CDS	2604				hypothetical protein
LEFGBFNB_00304	CDS	1029				hypothetical protein
LEFGBFNB_00305	CDS	735				hypothetical protein
LEFGBFNB_00306	CDS	432				hypothetical protein
LEFGBFNB_00307	CDS	1194	dap	3.4.11.19		D-aminopeptidase
LEFGBFNB_00308	CDS	423				hypothetical protein
LEFGBFNB_00309	CDS	132				hypothetical protein
LEFGBFNB_00310	CDS	870	opuAB		COG4176	Glycine betaine transport system permease protein OpuAB
LEFGBFNB_00311	CDS	3387	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
LEFGBFNB_00312	CDS	1116	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
LEFGBFNB_00313	CDS	924	yehZ		COG1732	Glycine betaine-binding protein YehZ
LEFGBFNB_00314	CDS	732	opuCB_1		COG1174	Glycine betaine/carnitine/choline transport system permease protein OpuCB
LEFGBFNB_00315	CDS	642	opuCB_2		COG1174	Glycine betaine/carnitine/choline transport system permease protein OpuCB
LEFGBFNB_00316	CDS	822	opuBA		COG1125	Choline transport ATP-binding protein OpuBA
LEFGBFNB_00317	tRNA	76				tRNA-His(gtg)
LEFGBFNB_00318	CDS	702	orn	3.1.-.-	COG1949	Oligoribonuclease
LEFGBFNB_00319	CDS	342				hypothetical protein
LEFGBFNB_00320	CDS	126				hypothetical protein
LEFGBFNB_00321	CDS	432				hypothetical protein
LEFGBFNB_00322	CDS	123				hypothetical protein
LEFGBFNB_00323	CDS	120				hypothetical protein
LEFGBFNB_00324	CDS	162				hypothetical protein
LEFGBFNB_00325	CDS	180				hypothetical protein
LEFGBFNB_00326	CDS	333				hypothetical protein
LEFGBFNB_00327	CDS	102				hypothetical protein
LEFGBFNB_00328	CDS	192	rpmB_1		COG0227	50S ribosomal protein L28
LEFGBFNB_00329	CDS	3882	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
LEFGBFNB_00330	CDS	579	dps_1	1.16.-.-	COG0783	DNA protection during starvation protein
LEFGBFNB_00331	CDS	135				hypothetical protein
LEFGBFNB_00332	CDS	564				hypothetical protein
LEFGBFNB_00333	CDS	1020	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
LEFGBFNB_00334	CDS	1068	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
LEFGBFNB_00335	CDS	621	rutE	1.1.1.298	COG0778	putative malonic semialdehyde reductase RutE
LEFGBFNB_00336	CDS	144				hypothetical protein
LEFGBFNB_00337	CDS	1050	lipM	2.3.1.181		Octanoyltransferase LipM
LEFGBFNB_00338	CDS	1311	dasA_1		COG1653	Diacetylchitobiose binding protein DasA
LEFGBFNB_00339	CDS	387				hypothetical protein
LEFGBFNB_00340	CDS	726	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
LEFGBFNB_00341	CDS	801				hypothetical protein
LEFGBFNB_00342	CDS	981				hypothetical protein
LEFGBFNB_00343	CDS	615	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
LEFGBFNB_00344	CDS	684				hypothetical protein
LEFGBFNB_00345	CDS	378				hypothetical protein
LEFGBFNB_00346	CDS	1212	metB_1	2.5.1.48	COG0626	Cystathionine gamma-synthase
LEFGBFNB_00347	CDS	360				hypothetical protein
LEFGBFNB_00348	CDS	1002				hypothetical protein
LEFGBFNB_00349	CDS	648				hypothetical protein
LEFGBFNB_00350	CDS	549				hypothetical protein
LEFGBFNB_00351	CDS	309				hypothetical protein
LEFGBFNB_00352	CDS	258				hypothetical protein
LEFGBFNB_00353	CDS	432				hypothetical protein
LEFGBFNB_00354	CDS	291				hypothetical protein
LEFGBFNB_00355	CDS	573				hypothetical protein
LEFGBFNB_00356	CDS	1356		3.2.1.58		Exo-beta-1,3-glucanase
LEFGBFNB_00357	CDS	144				hypothetical protein
LEFGBFNB_00358	CDS	912	malG		COG3833	Maltose/maltodextrin transport system permease protein MalG
LEFGBFNB_00359	CDS	1641	malF		COG1175	Maltose/maltodextrin transport system permease protein MalF
LEFGBFNB_00360	CDS	99				hypothetical protein
LEFGBFNB_00361	CDS	255				hypothetical protein
LEFGBFNB_00362	CDS	945				hypothetical protein
LEFGBFNB_00363	CDS	816	fusA_1		COG0480	Elongation factor G
LEFGBFNB_00364	CDS	1842	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
LEFGBFNB_00365	CDS	873				hypothetical protein
LEFGBFNB_00366	CDS	354				hypothetical protein
LEFGBFNB_00367	CDS	546				hypothetical protein
LEFGBFNB_00368	CDS	720	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
LEFGBFNB_00369	CDS	450				hypothetical protein
LEFGBFNB_00370	CDS	735				hypothetical protein
LEFGBFNB_00371	CDS	210				hypothetical protein
LEFGBFNB_00372	CDS	738	gbpA_1			GlcNAc-binding protein A
LEFGBFNB_00373	CDS	771			COG0628	Putative transport protein
LEFGBFNB_00374	CDS	2028	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
LEFGBFNB_00375	CDS	777				hypothetical protein
LEFGBFNB_00376	CDS	624				hypothetical protein
LEFGBFNB_00377	CDS	918				hypothetical protein
LEFGBFNB_00378	CDS	390				hypothetical protein
LEFGBFNB_00379	CDS	1227				hypothetical protein
LEFGBFNB_00380	CDS	372				hypothetical protein
LEFGBFNB_00381	CDS	534				hypothetical protein
LEFGBFNB_00382	CDS	1104	nemA	1.3.1.-	COG1902	N-ethylmaleimide reductase
LEFGBFNB_00383	CDS	516				hypothetical protein
LEFGBFNB_00384	CDS	639				hypothetical protein
LEFGBFNB_00385	CDS	366				hypothetical protein
LEFGBFNB_00386	CDS	1725				hypothetical protein
LEFGBFNB_00387	CDS	1767				hypothetical protein
LEFGBFNB_00388	CDS	399				hypothetical protein
LEFGBFNB_00389	CDS	123				hypothetical protein
LEFGBFNB_00390	CDS	810				hypothetical protein
LEFGBFNB_00391	CDS	387				hypothetical protein
LEFGBFNB_00392	CDS	552	folA	1.5.1.3	COG0262	Dihydrofolate reductase
LEFGBFNB_00393	CDS	819	thyA	2.1.1.45	COG0207	Thymidylate synthase ThyA
LEFGBFNB_00394	CDS	264				hypothetical protein
LEFGBFNB_00395	CDS	840	tcyC	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
LEFGBFNB_00396	CDS	1017				hypothetical protein
LEFGBFNB_00397	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II
